id,gamespot_id,title,documents
10,20,Starcraft,"In the distant future, a small group of human exiles have been doomed to fight for survival on the edge of the galaxy. Planet resources begin to run short, and three unique species--Terran, Protoss, and Zerg--engage in intergalactic warfare. As the military leader for your species, you must gather the resources you need to train and expand your forces and lead them to victory across three different campaigns. Each species has unique units, technologies, attributes, and abilities--all of which you'll need to master for control of the galaxy.::It doesn't stray far from the blueprint created by its predecessors, but it is, without a doubt, the best game to ever adhere to that formula."
11,21,Master of Orion 3,"No longer do you represent mere interplanetary dictators. In Master of Orion 3, you become the controlling force behind an entire galactic civilization. You'll explore solar systems, complete with jump lanes, wormholes, and hostile alien races, and take part in large battles. Crush your enemies with oppressive force or negotiate to scheme your way to the top. It is not enough to be an able economist or a great captain to succeed. Political, administrative, and espionage skills must be applied to craft your civilization's glorious chapter in the annals of time and space to claim the rightful title of Master of Orion.::Master of Orion III is a disappointing follow-up to the two most significant space empire games ever."
12,22,Tomb Raider (1996),"Climb, swim, and backflip your way through a maze of cryptic deathtraps so realistic you can practically smell the decaying flesh. Unload an arsenal of lethal firepower on any wild-dog, giant lizard or blood-thirsty mercenary that gets in your way.
Your mission is the deadliest one to date -- the recovery of the fabled Scion, an incredible treasure reputed to give its possessor vast power. Get ready to cross the globe to take on impossible odds while exploring Incan ruins, Ancient Rome, Egyptian Pyramids, and the Lost City of Atlantis...::Tomb Raider is simply a smart game, bursting with great touches."
13,23,The Curse of Monkey Island,"I've sailed the seas from Trinidad to Tortuga and I've never seen anything like it! The engagement ring I gave Elaine has a terrible pirate curse on it. LeChuck is behind it, I'm sure. I should have known that nothing good could come out of that evil zombie's treasures. And if that's not bad enough, the clairvoyant I met in the mangrove swamp told me that if I am to break the curse and save Elaine, I will have to die!
-Excerpted from ""The Memoirs of Guybrush Threepwood: The Monkey Island Years""
- Third in the legendary Monkey Island series of graphic adventures
- Film quality animation, voice, sound and music--the undead come to life before your very eyes!
- Incredible high-resolution (640 x 480) graphics!
- A barrel of gameplay--estimated 30-plus hours!
- Two difficulty settings: regular and Mega-Monkey (now with more puzzley goodness)!
- New and improved insults suitable for swordfights and other fun occasions!::Like its predecessors, The Curse of Monkey Island has all the makings of a classic."
14,24,Interstate '76,"It's 1976... a different '76. Stretched out before you are thousands of miles of desert -- the American Southwest. The massive engine roars as you slam down the accelerator. It's time to get funked up...

You are Groove Champion, auto-vigilante. Your agenda: Payback for your dead sister. Your weapon: A 425-horsepower '72 Picard Piranha with two 50-caliber M60 machine gun on top and a flame-thrower on the side. You're one mean dude with an even meaner ride.

They've messed with the wrong Champion.::Interstate '76 is an incredible gaming experience and offers countless hours of enjoyment for those who are willing to face up to its challenge."
15,26,The Elder Scrolls: Chapter II - Daggerfall,"The Elder Scrolls: Daggerfall is the second chapter in the highly acclaimed Elder Scrolls role-playing series. Its predecessor, TES: Arena, won over twenty Best Role Playing Game of the Year awards and set a new level for computer role playing. TES: Daggerfall is the most ambitious CRPG ever created and surpasses the high standard set in Arena.

Daggerfall offers you an opportunity to adventure in total freedom within a world where your destiny is of your own making and consequence evolves from your decisions. A world of love and darkness, magic and sorcery. Whether you choose to follow a quest or to venture out alone, you will interact with thousands of people as you travel across an expansive land in a time of fantasy and imagination.::Someone has finally returned to the RPGs of the old school and created an adventure that will take even the most experienced gamer months to unravel."
16,27,Chronicles of the Sword,"As Sir Gawain, a heroic knight of the Round Table, you must be quick to uncover the plot of the wicked sorceress Morgara. Defeat here before she drives Camelot from peace and prosperity into ruin!::Chronicles of the Sword takes a classic approach to a classic story&#151;and manages to accomplish very little in the process."
17,35,Redneck Rampage,"A Butt-Kickin', Gun-Totin', 3D Romp Through Hickston, U.S.A.
Dang them aliens!
They dun swiped yer bacon!
- Ten brutal weapons includin' crowbars, dynamite, double-barreled shotguns, ripsaw blades, and an alien arm gun (yank the tendon to fire)
- Gin-u-wine Redneck dialogue and humor
- 14 levels of SVGA Graphics featurin' Mortuaries, Chicken Processing Plants, Trailer Parks, and loads more fightin' locations!
- Gas up with pork rinds, cowpies and sauce-a-plenty
- 8 player multi-redneck, deathmatch action and modem play
- Toe tappin', butt stompin' soundtrack featurin' Mojo Nixon, The Reverend Horton Heat, and Cement Pond!
- Hostile alien Hulk Guards, Turd Minions and Vixens, plus alien clones of local town folks includin' Sheriff Hobbes, the Skinny Old Coot, and Billy Ray Jeter::Though the tabloid alien-abduction plot feels a bit dated, there's more than enough splatter and gags to compensate."
18,37,X-COM: Apocalypse,"Earth has been ravaged by human excess, petty conflict and alien invasion. The world's population has been herded into huge cities, the first of which was Mega Primus.
2084: A Utopia shattered, social collapse and civil unrest reigns in Mega Primus. Fiendish aliens terrorize the city. UFOs swarm through Dimensional Gateways. The city's under siege from an unknown enemy.
Your mission, as X-COM Commander, is to combat alien aggression and uncover their deadly intentions. But Beware! Alien infiltration into the city and its politics could see you under fire from criminal gangs, religious sects, and even the police!::This is almost the X-COM sequel that folks have been hoping for."
19,39,Star Wars Jedi Knight: Dark Forces II,"Dark Forces set the industry standard for first person action in the Star Wars universe. Now Jedi Knight: Dark Forces II picks up where the award-winning game left off...with even more features and firepower in dazzling 3D graphics. As Kyle Katarn, you must acquire the lightsaber and learn the ways of the Force to become a Jedi Knight. Confront old foes... Greedo, Boosk, stormtroopers. And new enemies... seven dark Jedi who plan to harness the power of an ancient burial ground for unsurpassed evil. But take heart, your 10 weapon arsenal and over 12 Force powers make you a force to be reckoned with.::Arguably the best single-player first-person shooter since Doom."
20,40,Riven: The Sequel to Myst,"Enter a deceptively beautiful world torn apart by age-old conflicts... where secrets lie hidden at every turn... and nothing is as it seems. You must search. You must explore. You must summon every spark of intellect and intuition. Only then will you learn the truth about this troubled land and its inhabitants. You must let Riven become you world - before an entire world is lost.::It's a leisurely paced, all-encompassing, mentally challenging experience. If you enjoyed Myst, you'll thoroughly enjoy Riven."
21,44,Star Wars: Yoda Stories,"Grab your lightsaber and get ready for terrific Star Wars adventuring in Yoda Stories, the newest in a series of easy-to-play Desktop Adventures from LucasArts. Join Luke Skywalker as he trains to become a Jedi with Yoda, then harness the Force and cross the galaxy to meet exotic aliens, collect stange devices and weapons and deal the Galactic Empire one crippling blow after another - all within an hour!::In Yoda Stories, you assume the role of young Luke Skywalker, Jedi junior varsity and errand boy for Yoda."
22,46,Hexen II,"The Four Horsemen of the Apocalypse lurk in the shadows before you. They are Death, Pestilence, Famine, and War. They are the root of all that is evil. They are the least of your worries. The last know Serpent Rider, Eidolon, lives. As the Necromancer, the Assassin, the Crusader, or the Paladin, you must defeat the dark generals and their Hell-spawned legions before you can face the Archfiend and attempt to end his ravenous onslaught.::Hexen II delivers a mighty blow, but ultimately fails to knock the king off his throne."
23,49,3D Lemmings,"The world famous Lemmings are lost in a world of their own. They're puzzled, confused, and they're dying at an alarming rate. So what's new?

Turning corners, that's what. These 3D Lemmings are fat, round, and can turn through 90 degrees. But only with your help. You and you alone can guide the suicidal rodents through dazzling 3D worlds packed with new features and puzzles to solve. 100 levels, 9 skills and over 30 sampled Lemmingese last requests make this a huge and hilarious game for humans everywhere. 

Although if you're a Lemming, steer clear. It could be distressing.::With addictive gameplay, numerous levels, and cute little rodents, 3D Lemmings is a must-buy."
24,50,Flight Unlimited II,"Put yourself in a virtual aviation world unmatched by any other flight sim. Take off from 48 different airports. Soar over 11,000 square miles of breathtaking San Francisco Bay Area terrain. Your skill and nerve will be put to the test as you come face to face with variable weather conditions, a sky crowded with air traffic and unique spine-tingling adventures that make Flight Unlimited II the most realistic flight simulation ever!::It doesn't have the globe-spanning sweep of Microsoft Flight Simulator, but it renders its own little corner of the world with admirable fidelity."
25,52,Tomb Raider II,"The unstoppable Lara Croft is back in TRII, complete with the classic gameplay that made Tomb Raider the game of the year!
Join Lara in her quest for the Dagger of Xian, reputed to possess the power of the dragon. But beware, Lara is not the only one in search of danger! Warrior Monks and crazed cult members plot against you as you travel from the remote mountain peaks of Tibet, the canals of Venice and even to the bottom of the sea.::Most of Tomb Raider II's improvements are cosmetic."
26,53,Deathtrap Dungeon,"Dive into the macabre and devilish 3D realm of Deathtrap Dungeon. Fight to the bloody end against over 50 fiends and foes ranging from fire-breathing dragons to slithering serpent women in a variety of dynamic 3D environments. Swords and hammers are a few of the weapons at your fingertips as you battle at close quarters in 10 tortuous levels. Based on the multi-million selling Fighting Fantasy book series by Ian Livingston, Deathtrap Dungeon is the ultimate dungeon hack and slash thriller.::If you didn't care for Tomb Raider's third-person perspective and camera angles then Deathtrap Dungeon will probably leave you cold."
27,55,Croc: Legend of the Gobbos,"Croc's got the moves! Help Croc, the crusading crocodile, rescue his peace-loving Gobbo friends from the grasp of the evil magician Baron Dante. Guide him through a beautifully-rendered 3D world, on a free-roaming adventure against the evil Baron and his devilish assistants - the Dantinis!::Croc just didn't live up to its potential."
28,62,Boggle CDROM,"It takes just 3 minutes to play a quick and exciting game of Boggle! Race against the clock to create high-scoring words from a jumble of letter cubes. Boggle CD-ROM offers Classic play as well as four new games. Experience the out-of-this-world action of Space Boggle. Test your tactical skills in Battle Boggle. Face the challenge of In Your Face Boggle, and go 3D in Breakaway Boggle. Slick graphics, fast 3D action, and explosive sound effects will keep you coming back for more. The fastest, most addictive word search games ever, Boggle CD-ROM!
Featuring:
Five unique and addictively fun 3-minute word games!
Play alone against the computer or with friends over a LAN or Internet
On-line dictionary for reference and quick rulings on word spellings::If you're going to have fun with this game, you've gotta get online."
29,64,Half-Life,"Deep in the bowels of the Black Mesa Federal Research Facility, a decommissioned missile base, a top-secret experiment goes terribly wrong. As aliens come through the walls and a military death squad shoots everything in sight, young research associate Gordon Freeman must scramble to stay alive. Find your way through the monster-ridden areas of Black Mesa using your wits, limited security clearance, and a variety of weapons, ranging from a crowbar and pistols to a rocket launcher and grenades. With split-screen deathmatch and its exclusive ""Decay"" single-player and multiplayer cooperative modes, Half-Life is an action experience like no other.::Half-Life is the closest thing to a revolutionary step the genre has ever taken."
30,69,Quest For Glory V: Dragon Fire,"Quest for Glory V: Dragon Fire combines the best elements of role-playing with pulse-pounding, real-time action. Set in the amazing 3D realm of Silmaria, Dragon Fire takes you on a journey fraught with peril, mystery and enchantment. The Council of Silmaria has set before you the seven deadly Rites of Rulership. If you succeed, you'll save the kingdom and win the right to rule as king. Are you ready for a mind-bending story full of plot twists, mythological creatures, paranormal opponents, and fire breathing dragons?  Quest for Glory V: Dragon Fire has it all!::Quest for Glory V has a few quirks and problems that will try your patience, but series fans will want to play this game to see old friends and follow Hero's last adventure."
31,71,Oddworld: Abe's Oddysee,"In a lush of diabolical danger where everyone wants to eat you, you're the skinny guy with no weapons. Run, jump, hide, scramble and talk your way past the ugliest bunch of carnivorous crustaceans ever created. Unlock Abe's special powers then figure out your foes, and you might save your race. Don't, and you're dinner! Enter Oddworld's surreal, sensory overload of pure gaming and claim your destiny.::Abe's Oddysee balances its action and puzzle elements perfectly."
32,75,688(I) Hunter/Killer,"688(I) Hunter/Killer, the most realistic submarine simulation ever developed for PC. Master the sonar and weapons control systems, learn to develop real target situations and outfit your boat with the latest advanced weaponry. Then use your skills to complete the tour of duty and earn your dolphins to become a true submariner.::At last, the long wait for a worthy nuclear submarine simulation is over."
33,83,Worms 2,"Welcome to the bizarre cartoon world of Worms 2. Wreak havoc on your rivals in an addictive game of revenge and mean-minded cruelty. Worms 2 is frenetic, frenzied fun - and it's even better when you share the experience with your fiends! Leave slimy trails on the corpses of your enemies as you wage WILD WORM WAR over a LAND or the Internet.::The simple rules and basic control structure make it a game that anyone can learn to play in about five minutes."
34,84,Frogger (1997),It's tough to be a frog! Life isn't all lazy days and lily pads--it abounds with dangers. Can you help Frogger survive some perils and spring him home to safety? First hop your frogs across a busy highway. Then cross a raging river to reach the safety of home. But your frogs will have to leap away from one danger after another before they're safe. Watch out for the tricky diving turtles...jump away from the frog-eating snakes...hop from the jaws of the hungry alligators!::Frogger is an enjoyable title.
35,87,Grim Fandango,"Something's Rotten in the Land of the Dead... ...and you're being played for a sucker. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his salvation.::In addition to being a very good adventure game, it features great writing and beautiful art direction."
36,90,Sanitarium,"Sanitarium is a point-and-click psychological-horror adventure game. The player controls Max Laughton, one of the patients in a bizarre, medieval-styled asylum. Max suffers from amnesia after a car accident, and he's trying to find out what happened and how he ended up in this creepy place. The game takes the player on a journey through the asylum and its surroundings, as well as through the mind of a mad-man - Max himself. The mature story and eerie atmosphere make this one of the best and definitely one of the scariest horror-adventure games of all time.::Broken into eight chapters, the entire game is a journey through your own madness to potential salvation."
37,91,Hoyle Casino,"Choose from 8 different games with more than 350 Vegas-style variations as you step into our 3-D casino. With authentic game play, crisp graphics, rich sounds, tutorials and lively interactive characters, you won't find a more realistic casino experience than at the Hoyle.::If already own a previous game in the series, or you prefer 3D environments and games that test skill rather than chance, you'd be better off taking your bets elsewhere."
38,94,X-COM: Interceptor,"They're back...only this time the heinous aliens are out to destroy Earth and rule the new frontier. As X-COM commander, it's your sole duty to protect humanity and the prized mining operations in outer space. You must strategically equip your X-COM fighters, amass a formidable arsenal and then fulfill your mandate by going head-to-head with the devious element. The action is fast. And the opposing forces are wicked. But if you are smart, diligent and quick, you will prevail in a masterfully fought campaign to save our planet from perilous collapse.::Because of the lackluster space combat, Interceptor is the first X-COM game where the micromanagement and research portion is the more satisfying of the two halves."
39,97,Star Wars: Shadows of the Empire,"A long time ago in a galaxy far, far away... As Luke Skywalker and the Rebel Alliance struggle to defeat Darth Vader and the Empire, a new threat arises. Dark Prince Xizor, head of the Black Sun crime syndicate, aspires to take Darth Vader's place at the Emperor's side. To do that, he must eliminate young Skywalker. As Dash Rendar, it's up to you to protect Luke and help the Alliance defeat the evil Xizor. Watch out for infamous bounty hunters and deadly stormtroopers! May the Force be with you!::Problems with the control, camera angles, and frustrating save feature keep Shadows from reaching its full potential."
40,99,Quake II Mission Pack: The Reckoning,"You are part of an elite commando force that must infiltrate a hostile alien cite. Once inside, you must scour industrial landscapes, crawl through waterways and air ducts, navigate treacherous canyons teeming with vicious mutants, stow away on an alien spacecraft, and destroy the enemy's secret moon base.::The question you need to ask yourself is whether you enjoy Quake II enough to merit playing it again, because The Reckoning is a supplement rather than an improvement."
41,102,Virtual Pool 2,"The Ultimate 3D Pool Simulator - Guaranteed.

Over 2 million pool players have taken a break with Virtual Pool, the #1 pool game in the world. Now, after 8000 programmer hours of enhancements, new 3D photo-realistic animation and over 50 new features, the ultimate pool simulator is better than ever. Immerse yourself in the pure excitement of Virtual Pool 2, where 9 games, 128 computer opponents, network play and high speed graphics will have you racking up hours of fun and entertainment.

*5 new games: 3-Ball, 6-Ball, 10-Ball, Bank Pool and One Pocket, plus the classic lineup of 8-Ball, 9-Ball, Straight Pool and Rotation.
*Tournament mode with 128 computer opponents and player rankings.
*Adjustable table characteristics (Amateur, Pro and Championship) with 4 settings for each: pocket size, pocket cut, rail cushioning and table speed.
*Full simulation of all physical action including friction, speed, collision, roll, cue stick to ball interface and true computational ball tracking.
*New full motion video tutorial with lessons on specialty shots and pool strategy with ""Pool Hall of Famer"" Mike Sigel.
*A music player so you can insert your own CDs.
*Challenge a friend on your PC, or play on two computers via network or modem.

Designed by physicists and mathematicians, Virtual Pool 2 is the only real-time 3D pool game guaranteed to improve your actual pool play... or your money back!::Virtual Pool 2 succeeds as being both an entertaining game and an instructional tool."
42,103,Forsaken,"An experiment gone wrong ripped away the earth's atmosphere. Bathed in the searing radiation of the sun, the planet has been condemned. You are among the &quot;FORSAKEN&quot; few who invade the now abandoned settlements to collect what little fortune was left behind.::If you're without a PC or N64, pick up the PlayStation version without fear."
43,104,The Journeyman Project 3: Legacy of Time,"To save the future you must enter the past.
You are Gage Blackwood, TSA Agent 5, charged with guarding the sanctity of history. As you embark on an urgent mission to investigate a time distortion hidden deep in the past, you discover a recorded message from the fugitive Agent 3 that leads you on a race against time. Somewhere in the past, within three mythical cities long since destroyed, lie the clues you need to save the future from destruction.
Your instinct and ingenuity are key to your survival. Travel through time, assume multiple identities, interact with characters from ancient civilizations, and weave your way through an intricate web of puzzles. Your success will determine the future of humanity.::While it looks nice, sounds nice, and plays nice, JP3 is a game hampered by its noticeable lack of story, sloppy writing, and one really annoying ""feature."""
44,105,Deer Hunter,"Deer Hunter delivers an addictive hunting experience, featuring over 15 in-game animals and an online Tournament Mode for intense competition with up to eight players.  Explore a variety of hunting areas, drive off-road vehicles, and hunt with a wide assortment of realistic weapons.  Deer Hunter also offers added thrills and adventure with two-player split-screen mode for cooperative or competitive play.  Test your skills and strategy in the ultimate hunt.::The first console Deer Hunter game includes 17 weapons and an online tournament mode."
45,108,Prince of Persia: Arabian Nights,"It's Good to Be the Prince
Hearken back to a time of unbridled passion, harrowing adventure and blood-pumping action. A mystical place where a once humble servant has transformed himself into a 12th century Persian prince. Now faced with his most challenging adventure, the Prince must embark on a perilous journey to rescue his bride and avenge the death of the Sultan.
Remaining true to the original series, Prince of Persia 3D seamlessly combines the fast paced combat of a fighting game with the depth and challenge of a timeless adventure. Its stunning animation and advanced 3D technology return the Prince to his rightful place amongst the legendary characters of gaming history.
Be brave. Be strong. Be smart. Be the Prince.
Features:
- Game design and storyline develop in conjunction with legendary series creator Jordan Mechner
- A dozen challenging levels spanning 7 exotic Persian environments
- Over 30 distinct types of enemies stand in your path
- Combat AI adjusts in real-time to test your sword fighting prowess
- Magic potions and arrows allow you to harness mystical powers
- Hundreds of gut wrenching traps lurk around every corner::It has two tragic flaws, and these problems are so overwhelming that the good parts seem wasted."
46,109,Centipede (1999),"You're trapped in the perilous Enchanted Forest. Dark, dangerous mushrooms push up through the squishy forest floor, surrounding you on every side. Threatening thumps and evil buzzing fill the air. Something slimy flashes through the mushrooms, closing in on you. Suddenly, glaring eyes and quivering antenna jump right out at you! Sparks fire from your magic wand again and again destroying the Centipede before its diminishing body can grow new heads. But more perils lurk in the forest - fierce Centipedes, deadly Spiders, venomous Fleas and poisonous Scorpions. You pick the magic wands, you just might make it out alive...::While this new Centipede can stand on its own, it fails to capture the magic of the original."
47,110,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned","Welcome to the remote French village of Rennes-le-Chateau. Gabriel and Grace arrive in this town in pursuit of a kidnapped child, but a deeper, far more frightening story begins to unfold. Whispers of a sacred bloodline, vampires and a boundless treasure set the shadow hunter and his companion on an inescapable path. Their ultimate destiny is to solve a dark mystery held secret for thousands of years.::It has several problems that will dampen the experience for all but the most die-hard fans of the series."
48,112,Total Annihilation: The Core Contingency,"Expand the Total Annihilation experience with new worlds, new units, new weapons and new strategies.
With Total Annihilation: The Core Contingency, it's harder for your enemies to hide when you deploy all-new amphibious Kbots, assault hovercraft, mines, and more. Now you can protect your bases by building them underwater and surprising opponents with sea-based amphibious armies. Ultimately, it's up to you to determine the outcome of the eternal battle between The Arm and The Core!
Features
- 25 all-new missions from the designers of Total Annihilation, plus a special bonus mission for advanced players.
- With 75 powerful new units and weapons you'll increase your arsenal for land, sea and air combat.
- Wreak havoc with the giant Krogoth Kbot.
- Map & Mission Editor, the same tool used by the designers of Total Annihilation, lets you create your own unique battlefields, experiences and scenarios.
- Now you play against computer opponents in multiplayer games.
- Over 50 multiplayer maps specially designed for 2, 4, 8 and 10 player battles.
- Huge new worlds with maps up to 64MB for challenging multiplayer conflicts.::What we have here is an avalanche of new material, which, depending on how you view it, may or may not be a good thing."
49,114,Triple Play 99,"Play in Season, All-Star, Home Run Derby, Tournament & 2 other modes
Immersive first-person batting
Career mode
Fantasy draft
2 person play-by-play
1300 categories of stats
1998 schedule and rosters::Triple Play 99 is the way to go if you want a realistic baseball sim to play."
50,120,Dominion: Storm Over Gift 3,"In the future, there will be no violence. No hatred. No war. Yeah, right.
For years, you've been hearing about ""real-time strategy."" Finally, Dominion: Storm Over Gift 3 delivers the kind of action you want. With 30+ frames a second in all 4 resolutions, Dominion is REAL real time for quick play. The most sophisticated AI ever allows your enemies to build bases, perform cooperative group attacks and feint attacks. Eight-player multiplayer allows deathmatching and cooperative modes. Incredible gameplay, animation and speed make Dominion: Storm Over Gift 3 the real-time strategy game that really lives up to its name.
- 4 races, each with its own personality characteristics, strengths and weaknesses.
- 44 vehicles, 8 creatures, 6 personnel types per race
- Over 95,000 frames of animation.
- The most sophisticated AI ever in a real-time strategy game.
- High-resolution graphics up to 1280x1024.
- Play multiplayer on-line at eidogames.com with MPath technology.::Its lack of distinguishing features renders it entirely tedious for real-time veterans, while its difficulty and bland presentation make it the wrong choice for newcomers to the genre."
51,121,Tribal Rage,"The year is 2030 and the World is in shambles. Years of war, famine, and plague have forced the survivors of Earth into tribes that sweep across the wastelands, fighting one another for what precious resources, safe lands, and bad jokes that remain. Bikers burn and pillage, Cyborgs search and destroy, and Enforcers uphold what little law exists, while the gorgeous Amazons, evil Death Cultists, and good ol' Trailer Trash struggle to prevail in a future that is desperate and outrageous!
TRIBAL RAGE is a post-apocalyptic real-time strategy game unlike any game ever released. A wide variety of play options and a Campaign Game allow the player to pit his tribe against other tribes over dozens of battlefields, while the many preset scenarios simulate the greatest rivalries of the age: Bikers Vs. Enforcers, Trailer Trash Vs. Death Cultists, Cyborgs vs. Amazons. In addition, players can create their own scenarios, warriors, and vehicles for unlimited replayability!
UNIQUE FEATURES
- Play any of Six Tribes -- Against cunning computer opponents, or Multiplayer via Head-to-Head, Network, or Internet!
- New and unique Campaign Game each time you play! Fight across dozens of battlefields!
- A wide variety of preset scenarios simulating the greatest rivalries of the age!
- Full-function scenario/tribe editor! -- Create your own warriors, vehicles and battle scenarios!::Set on yet another postapocalyptic Earth, Tribal Rage lets you battle as one of six allegedly wacky tribes for domination of the scorched planet."
52,122,Messiah,"Bob is a working-class angel ordered by God himself to go and clean up the putrid, disgusting, sleazy, and infested world of the future. He has been given the power of POSSESSION so that he can sneak up on any person, animal or genetically engineered being and leap right into their soul!
With your help, Bob can then use their bodies, their weapons, or even their bare hands to strangle, cripple, impale, and incinerate the cities of sinners sent to stop you from finding Satan himself.
Hiding in their souls, Bob can use these sinner's bodies against their will as ARMOR (to take pain for him), or he can use them for CAMOUFLAGE (to hide inside them) and pretend to be just another twisted citizen in the Messiah world...
The RULES are up to you... Enjoy the freedom.
TECHNOLOGY
- RT-DAT technology will generate the most detailed characters and worlds YOUR PERSONAL machine can handle. You will actually get to see your machine being used at 100% of it's capacity.
- Playing Messiah uses every part of your PC to it's fullest potential including the CD-ROM and hard drive, ensuring they are all pushed to their maximum output during gameplay.
- Two and a half years in the making, The Messiah engine has unlimited sound, unlimited graphics, unlimited level size and unlimited animations.
- It feels like no other game you have played before.
CHARACTERS
- POSSESS and control over 40 different characters. From giant Armored Behemoths to tiny Rats, all they need is a living soul and to turn their back to you, and they're all yours!
- Characters are real, you can hurt them or help them. They will run when scared, and attack in groups. They will use the world against you to track you down.
- Prostitutes, Cops, Behemoths, Priests, Bouncers, Bondage Dancers, Pimps, Gigolos, Sewer People, Vagrants, Welders, Nuclear Tehnicians, Riot Police, Bar Tenders, Medics, you play as them all.
WEAPONS
- Over 10 unique and devastating weapons including flame throwers, pump action shot guns, machine guns, bazookas, rocket propelled harpoon guns, buzzsaws, ice guns, and mines.
- Incredibly accurate weapons and realistic damage to characters and targets.
- Dead bodies stay around until you join them.::Messiah is relatively short, and the memorable set pieces are interrupted by too many uninspired jumping puzzles."
