id,title,isbn,isbn13,description
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",0517226952,9780517226957,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. <br /><br />""The Hitchhiker's Guide to the Galaxy""<br /><br />Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.<br /><br />""The Restaurant at the End of the Universe""<br /><br />Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.<br /><br />""Life, the Universe and Everything""<br /><br />The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.<br /><br />""So Long, and Thanks for All the Fish""<br /><br />Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.<br /><br />""Mostly Harmless""<br /><br />Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?<br /><br />Also includes the short story ""Young Zaphod Plays It Safe""."
13,The Ultimate Hitchhiker's Guide to the Galaxy,0345453743,9780345453747,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. <br /><br />""The Hitchhiker's Guide to the Galaxy""<br /><br />Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.<br /><br />""The Restaurant at the End of the Universe""<br /><br />Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.<br /><br />""Life, the Universe and Everything""<br /><br />The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.<br /><br />""So Long, and Thanks for All the Fish""<br /><br />Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.<br /><br />""Mostly Harmless""<br /><br />Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?<br /><br />Also includes the short story ""Young Zaphod Plays It Safe""."
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1400052920,9781400052929,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of the The Hitch Hiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out of work actor. <br /><br />Together this dynamic pair begin their journey through space aided by quotes from The Hitch Hiker's Guide ""A towel is about the most massively useful thing an interstellar hitchhiker can have"" and a galaxy-full of fellow travellers: Zaphod Beeblebrox - the two-headed, three-armed ex-hippie and totally out to lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ball-point pens he has bought over the years."
15,The Hitchhiker's Guide to Lean: Lessons from the Road,0872638316,9780872638310,"Embarking on a lean journey is similar to hitchhiking -- there are many roads on which to wander and no single one is right for all. This book reveals the most critical lessons learned over the authors' combined 30-plus years of exploring lean highways and shares stories based on real-world applications. The authors focus on areas where most lean efforts fail to illustrate steps to take to reenergize, accelerate and sustain a lean transformation. The book's ten chapters cover lean principles and thinking, lean leadership moves, the roadmap for lean transformation, common pitfalls of lean journeys, building an operating system, lean accounting, lean material management, lean in service organizations, and how individuals can apply lean to improve themselves. The book concludes with interviews of lean practitioners on the front lines of change at Chrysler, Ross Controls, DTE Energy. RSR Corporation, and Nemak."
16,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",0739322206,9780739322208,"Don't leave Earth without this hilarious international bestseller about the end of the world and the happy-go-lucky days that follow. Join the gruesome two-some of Arthur Dent and his friend, Ford Perfect, in their now-famous intergalactic journey through time and space."
17,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)",1572704888,9781572704886,"Many are familiar with Douglas Adams's classic <i>Hitchhiker's Guide to the Galaxy</i> series, but few know that these books started out as a multi-part series performed on BBC radio. This installment, part four, is a robust radio dramatization of <i>So Long and Thanks for All the Fish.</i> The Earth has miraculously reappeared and Arthur Dent is in love with the otherworldly Fenchurch, but Ford Prefect has an idea that might burst Arthur’s happy little bubble. What is really going on with Arthur’s dream girl, where have all the dolphins gone, and what was their departing message to mankind?"
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),0517149257,9780517149256,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. <br /><br />""The Hitchhiker's Guide to the Galaxy""<br /><br />Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.<br /><br />""The Restaurant at the End of the Universe""<br /><br />Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.<br /><br />""Life, the Universe and Everything""<br /><br />The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.<br /><br />""So Long, and Thanks for All the Fish""<br /><br />Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.<br /><br />""Mostly Harmless""<br /><br />Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?<br /><br />Also includes the short story ""Young Zaphod Plays It Safe""."
19,"The Hitchhiker's Guide to the Galaxy: Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)",0792738586,9780792738589,"Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous ""trilogy in five parts."" While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on one of many versions of Earth, a blonder, more American Trillian gets tangled up with a party of lost aliens having an identity crisis. A stolen ship, a dramatic stampede, and a new and sinister Guide lead to a race to save the earth. . .again."
21,A Short History of Nearly Everything,076790818X,9780767908184,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. <b>A Short History of Nearly Everything</b><i> </i>is the record of this quest, and it is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Science has never been more involving or entertaining."
22,Bill Bryson's African Diary,0767915062,9780767915069,"In the early fall of 2002, famed travel Writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of the film version of Out of Africa. (Also with some worries about tropical diseases, insects and large predators.) But the vibrant reality of Kenya and its people took over the second he deplaned in Nairobi, and this diary records Bill Bryson's impresssions of his trip with his inimitable trademark style of wry observation and curious insight. From the wrenching poverty of the Kibera slum in Nairobi to the meticulously manicured grounds of the Karen Blixen house and the human fossil riches of the National Museum, Bryson registers the striking contrasts of a postcolonial society in transition. He visits the astoundingly vast Great Rift Valley; undergoes the rigors of a teeth-rattling train journey to Mombasa and a hair-whitening flight through a vicious storm; and visits the refugee camps and the agricultural and economic projects where dedicated CARE professionals wage noble and dogged war against poverty, dislocation and corruption."
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,0767910435,9780767910439,"A revised and updated edition of a humorous primer on the English language, expanded for an American audience, contains entries on correct and questionable usage, a glossary, and a pronunciation guide."
24,In a Sunburned Country,0767903862,9780767903868,"<b>A CLASSIC FROM THE <i>NEW YORK TIMES</i> BESTSELLING AUTHOR OF <i>ONE SUMMER </i></b><br /><br />Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller <i>A Walk in the Woods</i>. <i>In A Sunburned Country</i> is his report on what he found in an entirely different place: Australia, the country that doubles as a continent, and a place with the friendliest inhabitants, the hottest, driest weather, and the most peculiar and lethal wildlife to be found on the planet. The result is a deliciously funny, fact-filled, and adventurous performance by a writer who combines humor, wonder, and unflagging curiousity.<br /><br />Despite the fact that Australia harbors more things that can kill you in extremely nasty ways than anywhere else, including sharks, crocodiles, snakes, even riptides and deserts, Bill Bryson adores the place, and he takes his readers on a rollicking ride far beyond that beaten tourist path. Wherever he goes he finds Australians who are cheerful, extroverted, and unfailingly obliging, and these beaming products of land with clean, safe cities, cold beer, and constant sunshine fill the pages of this wonderful book. Australia is an immense and fortunate land, and it has found in Bill Bryson its perfect guide."
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,076790382X,9780767903820,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. <br /><br />Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away."
26,The Lost Continent: Travels in Small Town America,0060920084,9780060920081,"'I come from Des Moines. Somebody had to'<br /><br />And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land.<br /><br />The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation."
27,Neither Here nor There: Travels in Europe,0380713802,9780380713806,"Bill Bryson's first travel book, <i>The Lost Continent</i>, was unanimously acclaimed as one of the funniest books in years. In <i>Neither Here nor There</i> he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before.<br /><br />Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein."
28,Notes from a Small Island,0380727501,9780380727506,"<b>""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.""</b><br /><br />After nearly two decades spent on British soil, Bill Bryson - bestselling author of <i>The Mother Tongue</i> and <i>Made in America</i>-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.<br /><br />Veering from the ludicrous to the endearing and back again, <i>Notes from a Small Island</i> is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
29,The Mother Tongue: English and How It Got That Way,0380715430,9780380715435,"With dazzling wit and astonishing insight, Bill Bryson—the acclaimed author of <em>The Lost Continent</em>—brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat (why you can talk but your dog can't), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world's largest growth industries."
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0345538374,9780345538376,لجزء الثالث من ملحمة جيه أر أر تولكين الرائعة سيد الخواتم <br /><br />دخل أفراد رفقة الخاتم فى مغامرات منفصلة أثناء إنجاز المهمة وسيرها فى طريق التنفيذ - اما أراجون الذى كشف أنه الوريث الخلفى لملوك الغرب القدامى فقد أنضم إلى خيالة روهان ضد قوى أيزنجارد وأشترك فى نصر هورنبرج الذى تحقق بصعوبة وبأس - أما ميرى وبيبين كانا قد تعرضا للإختطاف من جانب الأوركيين فقد هربا إلى غابة فانجون وهناك قابلا الأنتيين <br />وعاد جاندالف فيما يشبة المعجزة وهزم الساحر الشرير سارومان وفى نفس الوقت فإن سام وفرودو راحا يتقدمان بإتجاه موردو لتدمير الخاتم وبرفقتهما سميجول - جولام وهو لا يزال مهووسا ب شيئة الثمين وبعد معركة مع أنثى العنكبوت العملاق شيلوب ترك سام سيده طنا منه أنه مات ولكن فرودو كان لا يزال على قيد الحياة فى أيدى الأوركيين وكانت جيوش سيد الظلام تتجمع بإستمرار
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",0618517650,9780618517657,"The Fellowship of the Ring, part one of J.R.R. Tolkien’s epic masterpiece, first reached these shores on October 21, 1954, arriving, as C. S. Lewis proclaimed, “like lightning from a clear sky.” Fifty years and nearly one hundred million American readers later comes a beautiful new one-volume collector’s edition befitting the stature of this crown jewel of our list. With a text fully corrected under the supervision of Christopher Tolkien to meet the author’s exacting wishes, two large-format fold-out maps, a ribbon placemarker, gilded page edges, a color insert depicting Tolkien's own paintings of the Book of Mazarbul and exceptionally elegant and sturdy overall packaging housed within an attractive slipcase, this edition is the finest we’ve ever produced."
32,"The Lord of the Rings (The Lord of the Rings, #1-3)",0618346244,9780618346240,"Classics in the genre, J.R.R. Tolkien's definitive three-book epic, the Lord of the Rings (encompassing <i>The Fellowship of the Ring</i>, <i>The Two Towers</i>, and <i>The Return of the King</i>), and its charming precursor, <i>The Hobbit</i>. That many (if not most) fantasy works are in some way derivative of Tolkien is understood, but the influence of the Lord of the Rings is so universal that everybody from George Lucas to Led Zeppelin has appropriated it for one purpose or another.<p> Not just revolutionary because it was groundbreaking, the Lord of the Rings is timeless because it's the product of a truly top-shelf mind. Tolkien was a distinguished linguist and Oxford scholar of dead languages, with strong ideas about the importance of myth and story and a deep appreciation of nature. His epic, 10 years in the making, recounts the Great War of the Ring and the closing of Middle-Earth's Third Age, a time when magic begins to fade from the world and men rise to dominance. Tolkien carefully details this transition with tremendous skill and love, creating in the Lord of the Rings a universal and all-embracing tale, a justly celebrated classic. <i>--Paul Hughes</i></p>"
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",0618640150,9780618640157,"<b>One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them</b><br /><br />In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.<br /><br />From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.<br /><br />When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.<br /><br /><i>The Lord of the Rings</i> tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider."
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",0618346252,9780618346257,"Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)<br /><br />One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them<br /><br />In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.<br /><br />In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.<br />--back cover"
35,"The Lord of the Rings (The Lord of the Rings, #1-3)",0618260587,9780618260584,"Celebrated Tolkien illustrator Alan Lee, a conceptual designer for the blockbuster films based on ""The Lord of the Rings"", contributes 50 beautiful full-page, full-color paintings to this elegant three-volume edition.<br /><br />One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell, by chance, into the hands of the hobbit, Bilbo Baggins. From his fastness in the Dark Tower of Mordor, Sauron's power spread far and wide. He gathered all the Great Rings to him, but ever he searched far and wide for the One Ring that would complete his dominion. On his eleventy-first birthday Bilbo disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest -- to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom. The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard, Merry, Pippin, and Sam, Gimli the Dwarf, Legolas the Elf, Boromir of Gondor, and a tall, mysterious stranger called Strider. <br /><br />Saga of a group heroes who set forth to save their world from evil. A brotherhood of hobbits, elves, dwarves, and people is formed to combat evil forces. Tolkien drew on his extensive knowledge of folklore and the classics to create the worlds and creatures described in the trilogy, which includes The Fellowship of the Ring, The Two Towers, and The Return of the King."
36,The Lord of the Rings: Weapons and Warfare,0618391002,9780618391004,"<p>Lavishly illustrated with 1,000 photos, paintings, maps, sculptures and sketches, most appearing here for the first time, Weapons and Warfare is an indispensable chronicle of The Lord of the Rings' many creatures, warriors, armies and battlegrounds. From the graceful and proficient Elves to the horrendous war machines of the Dark Lord, each culture's approach to warfare is explained - how they fought, why they were fighting, what armor they wore and what weapons they used against their enemies. Now you can get as close to a marauding Orc as you could ever wish, without suffering the consequences!</p><p>Treating the filmmakers' notes, designs and props as a true archive, Weapons and Warfare describes in detail every major conflict depicted in the film trilogy - from The Last Alliance of Elves and Men to the climactic Battle of the Pelennor Fields - each accompanied by a battle diagram from the films' chief designers.</p><p>Armed with a wealth of fascinating facts and unique imagery, and with an exclusive foreword by Christopher Lee and an introduction by the Academy Award winner Richard Taylor, Weapons and Warfare promises to be the most striking companion to The Lord of the Rings movie trilogy published to date.</p>"
